Szczecin
160 Koszalin
105 Gorzow Wielkopolski
Koszalin
160 Szczecin
188 Gdansk
198 Bydgoszcz
239 Poznan
Gdansk
188 Koszalin
156 Olsztyn
181 Bydgoszcz
Olsztyn
156 Gdansk
223 Bialystok
213 Warszawa
172 Torun
Bialystok
223 Olsztyn
260 Lublin
188 Warszawa
Lublin
260 Bialystok
161 Warszawa
107 Radom
170 Rzeszow
Rzeszow
170 Lublin
200 Radom
79 Tarnow
Tarnow
79 Rzeszow
113 Kielce
86 Krakow
67 Nowy Sacz
Nowy Sacz
67 Tarnow
Krakow
86 Tarnow
114 Kielce
75 Katowice
86 Bielsko-Biala
Bielsko-Biala
86 Krakow
58 Katowice
Katowice
75 Krakow
58 Bielsko-Biala
159 Piotrkow Trybunalski
214 Kalisz
199 Wroclaw
Wroclaw
199 Katowice
116 Kalisz
157 Zielona Gora
178 Poznan
Zielona Gora
157 Wroclaw
130 Poznan
109 Gorzow Wielkopolski
Gorzow Wielkopolski
105 Szczecin
109 Zielona Gora
129 Poznan
Poznan
239 Koszalin
178 Wroclaw
130 Zielona Gora
129 Gorzow Wielkopolski
129 Bydgoszcz
212 Lodz
132 Kalisz
Kalisz
214 Katowice
116 Wroclaw
132 Poznan
126 Piotrkow Trybunalski
Piotrkow Trybunalski
159 Katowice
126 Kalisz
42 Lodz
137 Warszawa
96 Kielce
109 Radom
Kielce
113 Tarnow
114 Krakow
96 Piotrkow Trybunalski
78 Radom
Radom
107 Lublin
200 Rzeszow
109 Piotrkow Trybunalski
78 Kielce
103 Warszawa
Warszawa
213 Olsztyn
188 Bialystok
161 Lublin
137 Piotrkow Trybunalski
103 Radom
209 Torun
134 Lodz
Lodz
212 Poznan
42 Piotrkow Trybunalski
134 Warszawa
159 Torun
Torun
172 Olsztyn
209 Warszawa
159 Lodz
46 Bydgoszcz
Bydgoszcz
198 Koszalin
181 Gdansk
129 Poznan
46 Torun
